,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
1144,Incheon,Unhealthy For Sensitive Groups,29.3,66.4,42.9,54.5,11.2,656.5
1145,Tehran,Unhealthy For Sensitive Groups,48.9,91.6,26.8,202.0,30.3,2370.2
1146,Belgrade,Unhealthy For Sensitive Groups,20.8,19.5,30.4,23.8,10.1,538.4
1147,Seoul,Unhealthy For Sensitive Groups,37.4,75.4,24.3,75.3,10.2,815.8
1148,Shenyang,Moderate,35.2,66.2,49.5,23.2,14.3,535.0
1149,Hong Kong,Moderate,23.0,46.2,43.9,107.0,5.5,388.8
1150,Warsaw,Unhealthy For Sensitive Groups,18.8,22.6,34.8,28.5,,0.8
1151,Mexico City,Moderate,16.4,30.7,12.6,37.8,12.2,828.2
1152,Nagoya,Moderate,32.6,44.3,,81.4,,
1153,Madrid,Moderate,35.3,41.4,6.8,107.9,9.5,0.7
1154,Nur-Sultan,Moderate,21.5,74.3,,28.5,11.0,779.5
1155,Sofia,Moderate,14.2,10.9,45.7,12.6,6.8,0.5
1156,Riyadh,Moderate,41.4,,,,,
1157,Moscow,Moderate,20.2,24.8,3.3,60.0,5.7,617.6
1158,Ho Chi Minh City,Moderate,44.1,,,,,
1159,London,Moderate,13.4,16.7,14.7,34.0,2.7,900.0
1160,Wroclaw,Moderate,31.8,3.8,25.1,28.2,4.7,523.3
1161,Oslo,Moderate,15.3,16.9,,41.1,,0.0
1162,Taipei,Moderate,23.3,37.1,52.9,70.9,6.6,964.7
1163,Kyiv,Moderate,20.1,,,,,
1164,Paris,Moderate,16.4,21.7,28.8,24.4,0.5,0.0
1165,Tokyo,Moderate,16.4,23.3,,52.6,2.9,437.2
1166,Kobe,Moderate,24.4,36.5,,78.2,,
1167,Osaka,Moderate,28.6,39.0,,86.2,,
1168,Singapore,Moderate,16.7,35.4,49.1,13.1,3.3,81.2
1169,Paris,Moderate,16.4,21.7,28.8,24.4,0.5,0.3
1170,Kyoto,Moderate,20.3,37.7,,63.5,,670.6
1171,Kuala Lumpur,Moderate,15.1,,,,,
1172,Johannesburg,Moderate,16.3,24.9,37.6,8.4,3.3,4.6
1173,Detroit,Moderate,20.8,,,25.4,1.7,687.0
1174,Toronto,Moderate,15.0,,38.0,14.5,0.0,
1175,Vienna,Moderate,12.4,15.5,40.8,16.4,1.5,268.4
1176,Rotterdam,Moderate,12.8,18.7,,37.3,,
1177,Santiago,Moderate,11.0,54.3,25.6,34.3,5.2,399.9
1178,Krakow,Moderate,14.7,17.7,,18.1,4.0,
1179,Lima,Moderate,11.4,14.8,,9.5,,1.7
1180,Budapest,Moderate,10.4,13.9,42.9,20.4,4.1,387.2
1181,San Francisco,Moderate,8.1,,4.0,33.6,,
1182,Busan,Good,17.8,47.2,,39.7,8.5,461.6
1183,Pristina,Moderate,16.9,,,,,
1184,Brussels,Good,9.4,13.2,10.2,32.9,1.0,0.0
1185,Tel Aviv-Yafo,Good,10.9,22.2,49.9,18.1,1.6,381.7
1186,Seattle,Good,7.6,,,,,
1187,Amsterdam,Good,12.5,22.2,17.6,33.8,0.5,473.1
1188,Bratislava,Good,8.0,12.9,42.2,18.1,4.0,
1189,Los Angeles,Good,9.2,32.5,5.0,15.7,3.3,
1190,Helsinki,Good,7.0,11.5,32.6,33.7,1.1,
1191,Berlin,Good,9.2,12.1,32.2,14.6,,0.3
1192,Milano,Good,20.3,,19.7,49.3,4.0,0.9
1193,Beijing,Good,34.3,138.8,62.5,9.6,2.3,297.5
1194,Krasnoyarsk,Good,6.6,,,47.2,61.3,39.4
1195,Jerusalem,Good,8.4,103.3,2.0,19.9,,
1196,Bern,Good,5.0,5.9,5.0,,,
1197,Kuching,Good,6.5,,,,,
1198,Prague,Good,7.8,12.1,25.7,20.8,2.5,338.6
1199,Sao Paulo,Good,9.8,19.7,24.5,18.3,2.0,299.5
1200,Munich,Good,7.4,8.8,21.7,31.9,,0.0
1201,Canberra,Good,1.8,18.4,53.6,1.9,,3.3
1202,Denver,Good,3.2,17.9,39.6,47.3,0.0,215.5
1203,Sydney,Good,10.4,18.8,71.7,5.5,1.1,63.4
1204,Lyon,Good,2.0,3.5,37.7,22.8,,
1205,Skopje,Good,10.3,12.7,34.8,15.5,1.8,
1206,Portland,Good,6.2,,2.4,2.6,0.7,17.1
1207,Vancouver BC,Good,3.2,4.2,30.0,24.7,1.0,251.2
1208,Salt Lake City,Good,1.3,,17.1,66.7,0.0,57.3
1209,Melbourne,Good,1.9,19.9,12.3,3.6,4.1,0.0
