City,AQI,PM2.5,PM10,O3,NO2,SO2,CO
"Howrah, West Bengal",253,203.1,273.0,61.2,36.8,79.2,2000.0
"Asansol, West Bengal",236,186.3,,5.9,,14.6,
"Durgapur, West Bengal",230,179.4,,,,22.5,
"Murwara, Madhya Pradesh",220,169.2,,3.0,,11.2,
"Muzaffarpur, Bihar",220,169.2,,3.0,2.4,5.6,
"Pitampura, Delhi",213,162.7,210.9,19.0,27.2,6.4,1490.0
"Airoli, Maharashtra",209,158.8,252.0,,,19.2,
"Chakapara, West Bengal",207,156.2,347.0,22.0,69.4,141.4,1210.0
"Guwahati, Assam",207,156.2,,,,,
"Pontianak, West Kalimantan",151,55.9,,,,,
"Surabaya, East Java",70,21.3,,,,,
"Bangkinang, Riau",67,19.8,,,,,
"Semarang, Central Java",67,19.9,,,,,
"Duri, Riau",54,13.5,,,,,
"Balaipungut, Riau",53,13.1,,,,,
"Pekanbaru, Riau",52,12.4,,,,,
"Dumai, Riau",46,11.1,,,,,
"Jakarta, Jakarta",34,8.2,,,,,
"Sampit, Central Kalimantan",4,1.0,0.0,,,,
"Manama, Capital Governorate",129,47.0,,,,,
"Kathmandu, Central Region",172,97.0,237.5,125.0,,,
"Kirtipur, Central Region",169,89.8,105.8,,,,
"Patan, Central Region",169,90.8,175.4,,,,
"Bhaktapur, Central Region",161,74.6,,,,,
"Bharatpur, Central Region",155,63.1,70.2,,,,
"Pokhara, Western Region",119,42.9,,,,,
"Tulsipur, Mid Western",105,37.2,98.4,,,,
"Dhankuta, Eastern Region",97,34.0,79.1,,,,
"Nepalgunj, Mid Western",93,32.0,35.2,,,,
"Dhulikhel, Central Region",66,19.4,20.0,,,,
"Tashkent, Toshkent Shahri",102,36.0,,4.0,,,
"Baghdad, Baghdad",131,47.8,,,,,
"Nassau, New Providence",84,27.9,,,,,
"Governor's Harbour, Central Eleuthera",49,11.9,,,,,
"Charlotte Amalie, Saint Thomas Island",5,1.3,,,,,
"Cruz Bay, Saint John Island",5,1.2,,,,,
"Isafjoerdur, Westfjords",1,0.0,,,,,
"Korsholm, Ostrobothnia",43,10.4,16.3,,,,
"Pietarsaari, Ostrobothnia",37,9.0,6.9,,6.8,,
"Pertteli, Finland Proper",34,8.1,,,,,
"Seinajoki, Southern Ostrobothnia",33,8.0,9.4,,24.7,,
"Imatra, South Karelia",29,7.0,4.6,,3.3,0.8,
"Naantali, Finland Proper",29,7.0,9.5,,21.9,0.0,
"Raisio, Finland Proper",29,7.1,8.8,,18.2,0.0,
"Turku, Finland Proper",29,7.0,9.3,,21.8,,
"Lohja, Uusimaa",27,6.5,,,,,
"Ulvila, Satakunta",27,5.7,29.8,,7.6,2.5,
"Sinimaee, Ida-Virumaa",37,9.0,12.0,,,0.0,
"Tallinn, Harjumaa",37,9.0,14.8,14.8,15.7,0.7,320.0
"Sillamaee, Ida-Virumaa",33,8.0,8.5,,,,
"Voore, Jogevamaa",33,8.1,,,0.9,0.0,
"Tartu, Tartumaa",31,7.5,8.8,,6.7,0.0,230.0
"Narva, Ida-Virumaa",26,6.3,8.9,5.0,,1.0,
"Kohtla-Jaerve, Ida-Virumaa",6,6.3,6.4,,4.7,0.5,
"Solna, Stockholm",28,6.8,,,,,
"Linköping, Östergötlands län",25,6.1,,,,,
"Enkoeping, Uppsala län",23,5.5,,,,,
"Kungsbacka, Hallands län",22,5.4,,,,,
"Lilla Essingen, Stockholm",22,5.4,,,,,
"Onsala, Hallands län",21,5.2,5.2,,,,
"Sodertalje, Stockholm",21,5.0,4.6,,7.7,,
"Uppsala, Uppsala län",21,5.0,7.3,,15.9,,
"Kungsholmen, Stockholm",19,4.6,6.7,,9.6,,
"Saro, Hallands län",18,4.3,,,,,
"Stavanger, Rogaland",66,19.5,21.7,,85.6,,
"Kristiansand, Vest-Agder",52,12.5,23.8,,11.1,,
"Skoppum, Vestfold",52,12.4,,,,,
"Bergen, Hordaland",45,11.0,27.6,4.6,64.3,,
"Bodo, Nordland",45,5.9,50.0,,,,
"Alesund, More og Romsdal",43,10.5,15.1,,2.0,,
"Mo i Rana, Nordland",39,9.5,13.0,,,,
"Narvik, Nordland",31,4.7,34.2,,,,
"Tonsberg, Vestfold",30,5.0,33.5,,17.7,,
"Baerum, Akershus",29,7.0,9.9,,15.4,,
"Waimate, Canterbury",45,10.9,18.1,,,,
"Kaiapoi, Canterbury",36,8.7,13.8,,,,
"Gisborne, Gisborne",35,8.6,24.5,,,,
"Hastings, Hawke's Bay",27,6.5,7.9,,,,
"Rangiora, Canterbury",23,5.5,8.7,,,,
"Richmond, Tasman",23,,25.5,,,,
"Geraldine, Canterbury",21,5.0,9.5,,,,
"Wainuiomata, Wellington",20,4.8,6.6,,,,
"Timaru, Canterbury",19,4.7,15.8,,,2.7,500.0
"Wellington City, Wellington",17,4.1,7.3,,3.2,,
"Houston, British Columbia",151,56.3,15.4,,,,
"Dawson City, Yukon",120,43.3,,,,,
"Salmon Arm, British Columbia",113,40.3,,,,,
"Duncan, British Columbia",107,38.0,,8.0,7.6,,1000.0
"Winnipeg, Manitoba",95,33.3,,4.8,9.4,,
"Williams Lake Columneetza School, British Columbia",94,32.7,21.9,4.4,,,
"Cranbrook, British Columbia",93,32.3,,17.8,12.4,,
"High Level, Alberta",90,30.6,,,,,
"North Cowichan, British Columbia",87,29.4,,,,,
"Brandon, Manitoba",83,27.3,,,0.0,,
"Wollongong, New South Wales",83,27.3,118.1,38.0,11.3,2.6,55.4
"Narrabri, New South Wales",59,1.1,72.0,,,,
"Melton, Victoria",49,11.8,,27.0,,,
"Albany, Western Australia",47,,51.7,,,,
"Geraldton, Western Australia",47,4.8,51.7,,,,
"Swan, Western Australia",44,10.7,40.7,,5.6,,
"Wynnum West, Queensland",44,10.6,14.2,,,2.6,
"Moe, Victoria",40,9.8,,,,,
"Wyong, New South Wales",40,1.6,44.4,,3.8,2.6,10.4
"Busselton, Western Australia",32,5.6,35.2,,,,
